sku,name,family,role,category,reason
"MX-0812-SCL","4K60 8x12 Advanced Seamless Scaling HDMI Matrix - WyreStorm","Seamless Matrix","Seamless scaling matrix","Matrix switching / multiview","SCL matrix SKU"
"MX-1007-HYB","WyreStorm MX-1007-HYB 10×7 4K Hybrid Matrix Switcher","HDBaseT Matrix","HDBaseT matrix switcher","Matrix switching","HDBaseT matrix SKU/text"
"MX-1010-H2XC","10 Slot 18Gbps 4K HDR Modular Matrix Switch Chassis - WyreStorm","Matrix","HDMI matrix switcher","Matrix switching","MX / MXV matrix SKU"
"MX-1616-H2XC","16 Slot 18Gbps 4K HDR Modular Matrix Switch Chassis - WyreStorm","Matrix","HDMI matrix switcher","Matrix switching","MX / MXV matrix SKU"
"MX-1616-SCL","Advanced 16x16 Seamless Scaling Matrix Chassis - WyreStorm","Seamless Matrix","Seamless scaling matrix","Matrix switching / multiview","SCL matrix SKU"
"MXV-0404-H2A-KIT-V2","4K60 4x4 HDBaseT Matrix with Receivers - WyreStorm","HDBaseT Matrix","HDBaseT matrix switcher","Matrix switching","HDBaseT matrix SKU/text"
"MXV-0408-H2A","4K60 4x8 HDBaseT Matrix - WyreStorm","HDBaseT Matrix","HDBaseT matrix switcher","Matrix switching","HDBaseT matrix SKU/text"
"MXV-0408-H2A-KIT","4K60 4x8 HDBaseT Matrix with 6x Receivers - WyreStorm","HDBaseT Matrix","HDBaseT matrix switcher","Matrix switching","HDBaseT matrix SKU/text"
"MXV-0606-H2A-V2","4K HDR 4:4:4 60Hz HDBaseT 6x6 Matrix Switch with 6x Toslink Zone Audio De-Embed and 4 Mirrored HDMI Outputs (4K: 35m/115ft, 1080p: 70m/230ft) - WyreStorm","HDBaseT Matrix","HDBaseT matrix switcher","Matrix switching","HDBaseT matrix SKU/text"
"MXV-0606-H2A-V3","4K60 6x6 HDBaseT Matrix - WyreStorm","HDBaseT Matrix","HDBaseT matrix switcher","Matrix switching","HDBaseT matrix SKU/text"
"MXV-0808-H2A-70-V2","4K HDR 4:4:4 60Hz HDBaseT 8x8 Matrix Switch with Zone Audio De-Embed and 4 Mirrored HDMI Outputs (4K: 70m/230ft, 1080p: 100m/328ft) - WyreStorm","HDBaseT Matrix","HDBaseT matrix switcher","Matrix switching","HDBaseT matrix SKU/text"
"MXV-0808-H2A-70-V3","70m 4K60 8x8 HDBaseT Matrix - WyreStorm","HDBaseT Matrix","HDBaseT matrix switcher","Matrix switching","HDBaseT matrix SKU/text"
"MXV-0808-H2A-KIT","4K60 8x8 HDBaseT Matrix Kit with 8x Receivers - WyreStorm","HDBaseT Matrix","HDBaseT matrix switcher","Matrix switching","HDBaseT matrix SKU/text"
"MXV-0808-H2A-V2","4K HDR 4:4:4 60Hz HDBaseT 8x8 Matrix Switch with Assignable Audio De-Embed and 4 mirrored HDMI outputs (4K 35m/114ft, 1080p 70m/230ft) - WyreStorm","HDBaseT Matrix","HDBaseT matrix switcher","Matrix switching","HDBaseT matrix SKU/text"
"MXV-0808-H2A-V3","4K60 8x8 HDBaseT Matrix - WyreStorm","HDBaseT Matrix","HDBaseT matrix switcher","Matrix switching","HDBaseT matrix SKU/text"
"MXV-0808-H2L","8x8 4K60 'Lite' HDBaseT Matrix - WyreStorm","HDBaseT Matrix","HDBaseT matrix switcher","Matrix switching","HDBaseT matrix SKU/text"
"NHD-000-CTL","Controller for NetworkHD Systems - WyreStorm","NetworkHD Accessory","NetworkHD control / mounting / USB accessory","AV-over-IP accessory","NetworkHD accessory SKU"
"NHD-000-RACK3","7U/8 Slot Rack Mount for NetworkHD 600 TX/RX - WyreStorm","NetworkHD Accessory","NetworkHD control / mounting / USB accessory","AV-over-IP accessory","NetworkHD accessory SKU"
"NHD-000-RACK4","6U/12 Slot Rack Mount for NetworkHD 100/250/400/500/600 Series - WyreStorm","NetworkHD Accessory","NetworkHD control / mounting / USB accessory","AV-over-IP accessory","NetworkHD accessory SKU"
"NHD-0401-MV","NetworkHD 4-Input 4K60 Multiview Switcher - WyreStorm","NetworkHD 500","NetworkHD multiview processor","AV-over-IP processing","NHD-0401-MV specific SKU"
"NHD-110-RX","1080p HD Low Bandwidth AV over IP Decoder - WyreStorm","NetworkHD 100","NetworkHD 100 decoder","AV-over-IP","NHD-1xx SKU"
"NHD-110-RX-S","1080p HD Low Bandwidth AV over IP Decoder with Sealoc Protection - WyreStorm","NetworkHD 100","NetworkHD 100 decoder","AV-over-IP","NHD-1xx SKU"
"NHD-110-TX","1080p HD Low Bandwidth AV over IP Encoder - WyreStorm","NetworkHD 100","NetworkHD 100 encoder","AV-over-IP","NHD-1xx SKU"
"NHD-120-IW-TX","NetworkHD 100 Series 4K30 4:2:0 H.265/H.265 In-Wall Encoder - WyreStorm","NetworkHD 100","NetworkHD 100 encoder","AV-over-IP","NHD-1xx SKU"
"NHD-120-RX","NetworkHD 120 Series 4K30 4:2:0 Decoder - WyreStorm","NetworkHD 100","NetworkHD 100 decoder","AV-over-IP","NHD-1xx SKU"
"NHD-120-RX-S","NetworkHD 120 Series 4K30 4:2:0 Decoder with Sealoc Protection - WyreStorm","NetworkHD 100","NetworkHD 100 decoder","AV-over-IP","NHD-1xx SKU"
"NHD-120-TX","WyreStorm NHD-120-TX 4K AV over IP Encoder with H.264/H.265","NetworkHD 100","NetworkHD 100 encoder","AV-over-IP","NHD-1xx SKU"
"NHD-124-TX","NetworkHD 100 Series 4K AV over IP Quad Encoder - WyreStorm","NetworkHD 100","NetworkHD 100 encoder","AV-over-IP","NHD-1xx SKU"
"NHD-128-NDI-TRX","WyreStorm NHD-128-NDI-TRX 4K30 NDI to AV over IP Gateway","NetworkHD 100","NDI / NetworkHD gateway","AV-over-IP / NDI bridging","NHD-128-NDI SKU"
"NHD-140-RACK-1U","1U/2 Slot Rack Mount for NetworkHD NHD-140-TX - WyreStorm","NetworkHD Accessory","NetworkHD control / mounting / USB accessory","AV-over-IP accessory","NetworkHD accessory SKU"
"NHD-150-RX","NetworkHD 100 Series 4K60 4:2:0 MultiView Processor - WyreStorm","NetworkHD 100","NetworkHD 100 multiview decoder","AV-over-IP","NHD-1xx SKU"
"NHD-250-RX","NetworkHD 200 Series AV over IP H.264 MultiView Processor - WyreStorm","NetworkHD 200","NetworkHD 200 endpoint / processor","AV-over-IP","NHD-250 SKU"
"NHD-300-TX","NetworkHD 300 Series 1080p AV over IP H.264 Open Standards Encoder - WyreStorm","NetworkHD 400","NetworkHD 400 encoder","AV-over-IP","NHD-300/400 SKU"
"NHD-400-DNT-TX","NetworkHD 400 Series 4K AV over IP JPEG 2000 Encoder with Dante - WyreStorm","NetworkHD 400","NetworkHD 400 encoder","AV-over-IP","NHD-300/400 SKU"
"NHD-400-E-RX","NetworkHD 400 Series 4K AV over IP JPEG 2000 Decoder - WyreStorm","NetworkHD 400","NetworkHD 400 decoder","AV-over-IP","NHD-300/400 SKU"
"NHD-400-E-TX","NetworkHD 400 Series 4K AV over IP JPEG 2000 Encoder - WyreStorm","NetworkHD 400","NetworkHD 400 encoder","AV-over-IP","NHD-300/400 SKU"
"NHD-400-RX","4K AV Over IP - NetworkHD™ 400 Series| WyreStorm","NetworkHD 400","NetworkHD 400 decoder","AV-over-IP","NHD-300/400 SKU"
"NHD-400-TX","NetworkHD 400 Series 4K AV over IP JPEG 2000 Encoder - WyreStorm","NetworkHD 400","NetworkHD 400 encoder","AV-over-IP","NHD-300/400 SKU"
"NHD-400-TX-IW","NetworkHD 400 Series In-Wall 4K AV over IP JPEG 2000 Encoder - WyreStorm","NetworkHD 400","NetworkHD 400 encoder","AV-over-IP","NHD-300/400 SKU"
"NHD-500","NetworkHD 500 Series 4K60 4:4:4 JPEG2000 Encoder & Decoder - WyreStorm","NetworkHD 500","NetworkHD 500 encoder","AV-over-IP","NHD-5xx SKU"
"NHD-500-DNT-TX","NetworkHD 500 Series 4K60 4:4:4 JPEG2000 Encoder with Dante Audio - WyreStorm","NetworkHD 500","NetworkHD 500 encoder","AV-over-IP","NHD-5xx SKU"
"NHD-500-E","NetworkHD 500 Series Lite 4K60 4:4:4 JPEG2000 Encoder & Decoder - WyreStorm","NetworkHD 500","NetworkHD 500 encoder","AV-over-IP","NHD-5xx SKU"
"NHD-500-IW-TX","NetworkHD 500 Series 4K60 4:4:4 JPEG2000 In-Wall Encoder - WyreStorm","NetworkHD 500","NetworkHD 500 encoder","AV-over-IP","NHD-5xx SKU"
"NHD-500-IW-TX-V2","NetworkHD 500 Series 4K60 4:4:4 JPEG2000 In-Wall Encoder - WyreStorm","NetworkHD 500","NetworkHD 500 encoder","AV-over-IP","NHD-5xx SKU"
"NHD-500-T","NetworkHD 500 Series 4K60 4:4:4 JPEG2000 TAA Compliant Encoder & Decoder - WyreStorm","NetworkHD 500","NetworkHD 500 encoder","AV-over-IP","NHD-5xx SKU"
"NHD-500-TXRX-V2","WyreStorm NHD-500-TX/RX V2 4K60 Encoder & Decoder with JPEG2000","NetworkHD 500","NetworkHD 500 encoder","AV-over-IP","NHD-5xx SKU"
"NHD-510-TX","WyreStorm NHD-510-TX 4K60 JPEG2000 AV over IP Encoder with USB-C","NetworkHD 500","NetworkHD 500 encoder","AV-over-IP","NHD-5xx SKU"
"NHD-600-E-TXRX","WyreStorm NHD-600-E-TX/RX 4K60 SDVoE AV over IP Encoder & Decoder","NetworkHD 600","NetworkHD 600 10G AV-over-IP endpoint","AV-over-IP","NHD-6xx / 610 SKU"
"NHD-600-RX","NetworkHD 600 Series 4K HDR Premium AV over IP SDVoE Decoder - WyreStorm","NetworkHD 600","NetworkHD 600 10G AV-over-IP endpoint","AV-over-IP","NHD-6xx / 610 SKU"
"NHD-600-TRX","NetworkHD 600 Series 4K60 4:4:4 10GbE SDVoE Transceiver - WyreStorm","NetworkHD 600","NetworkHD 600 10G AV-over-IP endpoint","AV-over-IP","NHD-6xx / 610 SKU"
"NHD-600-TRXF","NetworkHD 600 Series 4K60 4:4:4 10Gb SDVoE Fiber Transceiver - WyreStorm","NetworkHD 600","NetworkHD 600 10G AV-over-IP endpoint","AV-over-IP","NHD-6xx / 610 SKU"
"NHD-600-TX","NetworkHD 600 Series 4K HDR Premium AV over IP SDVoE Encoder - WyreStorm","NetworkHD 600","NetworkHD 600 10G AV-over-IP endpoint","AV-over-IP","NHD-6xx / 610 SKU"
"NHD-610","NetworkHD 610 Series 4K60 10GbE SDVoE Encoder & Decoder - WyreStorm","NetworkHD 600","NetworkHD 600 10G AV-over-IP endpoint","AV-over-IP","NHD-6xx / 610 SKU"
"NHD-610-TX-V2","WyreStorm NHD-610-TX V2 4K60 SDVoE AV over IP Encoder with Dante","NetworkHD 600","NetworkHD 600 10G AV-over-IP endpoint","AV-over-IP","NHD-6xx / 610 SKU"
"NHD-CTL-PRO","Pro Controller for NetworkHD - WyreStorm","NetworkHD Accessory","NetworkHD control / mounting / USB accessory","AV-over-IP accessory","NetworkHD accessory SKU"
"NHD-CTL-PRO-T","Pro Controller for NetworkHD Series TAA Compliant - WyreStorm","NetworkHD Accessory","NetworkHD control / mounting / USB accessory","AV-over-IP accessory","NetworkHD accessory SKU"
"NHD-CTL-PRO-V2","Pro Controller for NetworkHD Series - WyreStorm","NetworkHD Accessory","NetworkHD control / mounting / USB accessory","AV-over-IP accessory","NetworkHD accessory SKU"
"NHD-RACK-1U","1U/2 Slot Rack Mount for NetworkHD 100/500/600 Series - WyreStorm","NetworkHD Accessory","NetworkHD control / mounting / USB accessory","AV-over-IP accessory","NetworkHD accessory SKU"
"NHD-RACK4-BLK","Accessory for the NHD-000-RACK4 6U/12 Slot Rack Mount - WyreStorm","NetworkHD Accessory","NetworkHD control / mounting / USB accessory","AV-over-IP accessory","NetworkHD accessory SKU"
"NHD-TOUCH","Touchscreen Control for NetworkHD 100, 400, 500 & 600 Series - WyreStorm","NetworkHD Accessory","NetworkHD control / mounting / USB accessory","AV-over-IP accessory","NetworkHD accessory SKU"
"NHD-TOUCHPLUS","Touchscreen control application for NetworkHD 110 Series - WyreStorm","NetworkHD Accessory","NetworkHD control / mounting / USB accessory","AV-over-IP accessory","NetworkHD accessory SKU"
"NHD-USB-TRX","USB 2.0 Over IP Transceiver - WyreStorm","NetworkHD Accessory","NetworkHD control / mounting / USB accessory","AV-over-IP accessory","NetworkHD accessory SKU"
"SW-130-TX","35m 4K HDBaseT Receiver with USB - WyreStorm","Presentation Switcher","Presentation switcher / room transmitter","Presentation switching","SW SKU prefix"
"RX3-100","4K HDR 4:4:4 60Hz HDBaseT3.0 Receiver with USB Device Inputs, Audio De-embed & PoH 100m/328ft over Cat6 - WyreStorm","Extender","Signal extender","Extension","EX / RX extender SKU prefix"
"MXV-0606-H2A-70","70m 4K60 HDBaseT Receiver for MXV - WyreStorm","HDBaseT Matrix","HDBaseT matrix switcher","Matrix switching","HDBaseT matrix SKU/text"
"MXV-70","Scaling 70m 4K60 HDBaseT Receiver for MX - WyreStorm","HDBaseT Matrix","HDBaseT matrix switcher","Matrix switching","HDBaseT matrix SKU/text"
"SW-0204-VW","4K60Hz 4-Output Video Wall Processor - WyreStorm","Video Wall Processor","Dedicated video wall processor","Video Wall","SW video wall SKU"
"SW-0206-VW","WyreStorm SW-0206-VW 4K60 Video Wall Processor","Video Wall Processor","Dedicated video wall processor","Video Wall","SW video wall SKU"
"SW-120-TX3","Synergy 2-input 4K60Hz HDBaseT 3.0 Switching Transmitter with USB-C Charging and CEC Trigger - WyreStorm","Presentation Switcher","Presentation switcher / room transmitter","Presentation switching","SW SKU prefix"
"SW-120-TX3-UK","Synergy 2-Input 4K60Hz HDBaseT 3.0 In-Wall Transmitter - WyreStorm","Presentation Switcher","Presentation switcher / room transmitter","Presentation switching","SW SKU prefix"
"SW-120-TX3-US","Synergy 2-Input 4K60Hz HDBaseT 3.0 In-Wall Transmitter - WyreStorm","Presentation Switcher","Presentation switcher / room transmitter","Presentation switching","SW SKU prefix"
"SW-130-TX-UK","3-Input In-wall HDBaseT Transmitter (2-gang UK) - WyreStorm","Presentation Switcher","Presentation switcher / room transmitter","Presentation switching","SW SKU prefix"
"SW-130-TX-US","3-Input In-wall HDBaseT Transmitter (2-gang US) - WyreStorm","Presentation Switcher","Presentation switcher / room transmitter","Presentation switching","SW SKU prefix"
"SW-220-TX-W","Wireless Presentation System for Seamless Presentations","Presentation Switcher","Presentation switcher / room transmitter","Presentation switching","SW SKU prefix"
"SW-540-TX-W","4x2 4K HDBaseT Switcher with Wireless Casting - WyreStorm","Presentation Switcher","Presentation switcher / room transmitter","Presentation switching","SW SKU prefix"
"SW-620-TX-W","Wireless Conferencing Solutions for Seamless Communication","Presentation Switcher","Presentation switcher / room transmitter","Presentation switching","SW SKU prefix"
"SW-640L-TX-W","Wireless Conferencing Solutions for Seamless Communication","Presentation Switcher","Presentation switcher / room transmitter","Presentation switching","SW SKU prefix"
"SW-740-TX","4-Input 4K60 DSC HDBaseT Switcher with USB - WyreStorm","Presentation Switcher","Presentation switcher / room transmitter","Presentation switching","SW SKU prefix"
"SWX-100-HDBT3","SW-120-TX3 Transmitter and RX3-100 Receiver Kit - WyreStorm","Extender","HDBaseT extender kit","Extension","SWX extender kit SKU"
"SWX-100-IW-UK","In-Wall Kit with the SW-120-TX3-UK Transmitter and RX3-100 Receiver - WyreStorm","Extender","HDBaseT extender kit","Extension","SWX extender kit SKU"
"SWX-100-IW-US","In-Wall Kit with the SW-120-TX3-US Transmitter and RX3-100 Receiver - WyreStorm","Extender","HDBaseT extender kit","Extension","SWX extender kit SKU"
"CAB-UAOC-15","4-Port USB 3.0 Superspeed Hub - WyreStorm","Cable","Active optical cable","Cables","CAB SKU prefix"
"AMP-2120","Advanced 2 or 4 Channel Amplifier","Amplifier","Audio amplifier","Audio","AMP SKU prefix"
"CAB-UAOC-15","USB 3.2 Active Optical Extension Cable","Cable","Active optical cable","Cables","CAB SKU prefix"
"EX-60D-KVM","60m Dual HDMI KVM Extender","Extender","Signal extender","Extension","EX / RX extender SKU prefix"
"IDB-200-NA","Flip-Up In-Desk Box with USB-C, HDMI, USB Charging and Mains","Cable Management","In-desk cable management / table connectivity","Cable management","IDB SKU prefix"
"IDB-400-EU-C","Flip-Up In-Desk Box with USB-C, HDMI, USB Charging and RJ-45","Cable Management","In-desk cable management / table connectivity","Cable management","IDB SKU prefix"
"IDB-SPINE","Under-Desk Cable Management Spine with Adjustable Height","Cable Management","In-desk cable management / table connectivity","Cable management","IDB SKU prefix"
"MV-0401-PRO","4-Input 4K60 Multiview Processor for NetworkHD","Multiview Processor","Multiview processor","Video processing","MV SKU prefix"
"MXV-0808-H2A-MK2","4K60 8x8 HDMI Matrix","HDBaseT Matrix","HDBaseT matrix switcher","Matrix switching","HDBaseT matrix SKU/text"
"NHD-124-RACK-1U","1U 2-Slot Rack Mount for NetworkHD NHD-124-TX","NetworkHD Accessory","NetworkHD control / mounting / USB accessory","AV-over-IP accessory","NetworkHD accessory SKU"
"NHD-600-E-RX","4K60 4:4:4 SDVoE Decoder with Zero-Latency Video and PoE+ Power","NetworkHD 600","NetworkHD 600 10G AV-over-IP endpoint","AV-over-IP","NHD-6xx / 610 SKU"
"NHD-600-E-TX","4K60 4:4:4 SDVoE Encoder with Zero-Latency Video and PoE+ Power","NetworkHD 600","NetworkHD 600 10G AV-over-IP endpoint","AV-over-IP","NHD-6xx / 610 SKU"
"SWX-100-IW-UX","100m 4K60 HDBaseT 3.0 In-Wall KVM Extender with USB-C and HDMI","Extender","HDBaseT extender kit","Extension","SWX extender kit SKU"
"AMP-260-DNT","120W Network Amplifier","Amplifier","Dante network amplifier","Audio","AMP SKU prefix"
"AMP-260-DNT","120W Network Amplifier","Amplifier","Dante network amplifier","Audio","AMP SKU prefix"
"APO-210-UC","Apollo TM Video-speakerphone switcher","Apollo","Apollo presentation / UC product","Presentation / UC","APO SKU prefix"
"APO-210-UC","Apollo TM Video-speakerphone switcher","Apollo","Apollo presentation / UC product","Presentation / UC","APO SKU prefix"
"APO-COM-MIC","Apollo TM companion mic","Apollo","Apollo microphone / UC accessory","Presentation / UC","APO SKU prefix"
"APO-COM-MIC","Apollo TM companion mic","Apollo","Apollo microphone / UC accessory","Presentation / UC","APO SKU prefix"
"APO-DG-DOCK","Docking station for APO-DG1, APO-DG2 & APO-DG-HDMI","Apollo","Apollo wireless casting / conferencing dongle or dock","Presentation / UC","APO SKU prefix"
"APO-DG-DOCK","Docking station for APO-DG1, APO-DG2 & APO-DG-HDMI","Apollo","Apollo wireless casting / conferencing dongle or dock","Presentation / UC","APO SKU prefix"
"APO-DG-HDMI","HDMI - USB C Adapter for the APO-DG1/2","Apollo","Apollo wireless casting / conferencing dongle or dock","Presentation / UC","APO SKU prefix"
"APO-DG-HDMI","HDMI - USB C Adapter for the APO-DG1/2","Apollo","Apollo wireless casting / conferencing dongle or dock","Presentation / UC","APO SKU prefix"
"APO-DG1","Apollo TM 1080p USB-C(DP Atl mode) dongle for wireless casting","Apollo","Apollo wireless casting / conferencing dongle or dock","Presentation / UC","APO SKU prefix"
"APO-DG1","Apollo TM 1080p USB-C(DP Atl mode) dongle for wireless casting","Apollo","Apollo wireless casting / conferencing dongle or dock","Presentation / UC","APO SKU prefix"
"APO-DG2","Apollo TM 4K USB-C(DP Atl mode) dongle for wireless casting and wireless conferencing(...","Apollo","Apollo wireless casting / conferencing dongle or dock","Presentation / UC","APO SKU prefix"
"APO-DG2","Apollo TM 4K USB-C(DP Atl mode) dongle for wireless casting and wireless conferencing(...","Apollo","Apollo wireless casting / conferencing dongle or dock","Presentation / UC","APO SKU prefix"
"APO-DG2-PRO","Apollo TM 4K USB-C(DP Atl mode) dongle for wireless casting and wireless conferencing(...","Apollo","Apollo wireless casting / conferencing dongle or dock","Presentation / UC","APO SKU prefix"
"APO-DG2-PRO","Apollo TM 4K USB-C(DP Atl mode) dongle for wireless casting and wireless conferencing(...","Apollo","Apollo wireless casting / conferencing dongle or dock","Presentation / UC","APO SKU prefix"
"APO-MIC-EXT","Mini-USB to Ethernet adaptor for connection between Videobar and Companion Mic APO-COM-MIC","Apollo","Apollo microphone / UC accessory","Presentation / UC","APO SKU prefix"
"APO-MIC-EXT","Mini-USB to Ethernet adaptor for connection between Videobar and Companion Mic APO-COM-MIC","Apollo","Apollo microphone / UC accessory","Presentation / UC","APO SKU prefix"
"APO-SKY-MIC","Apollo TM companion Add-On Ceiling Mic","Apollo","Apollo microphone / UC accessory","Presentation / UC","APO SKU prefix"
"APO-SKY-MIC","Apollo TM companion Add-On Ceiling Mic","Apollo","Apollo microphone / UC accessory","Presentation / UC","APO SKU prefix"
"APO-VX20-MNT","Wall Mounting Kit for the APO-VX20-UC Video Bar","Apollo","Apollo video bar / room UC switcher","Presentation / UC","APO SKU prefix"
"APO-VX20-MNT","Wall Mounting Kit for the APO-VX20-UC Video Bar","Apollo","Apollo video bar / room UC switcher","Presentation / UC","APO SKU prefix"
"APO-VX20-UC","Apollo TM Video Bar & Switcher","Apollo","Apollo video bar / room UC switcher","Presentation / UC","APO SKU prefix"
"APO-VX20-UC","Apollo TM Video Bar & Switcher","Apollo","Apollo video bar / room UC switcher","Presentation / UC","APO SKU prefix"
"CAB-HAOC-10","10m/32ft HDMI 2.0 AOC","Cable","Active optical cable","Cables","CAB SKU prefix"
"CAB-HAOC-10","10m/32ft HDMI 2.0 AOC","Cable","Active optical cable","Cables","CAB SKU prefix"
"CAB-HAOC-15","15m/49ft HDMI 2.0 AOC","Cable","Active optical cable","Cables","CAB SKU prefix"
"CAB-HAOC-15","15m/49ft HDMI 2.0 AOC","Cable","Active optical cable","Cables","CAB SKU prefix"
"CAB-HAOC-15-C","15m/49ft HDMI 2.0 AOC","Cable","Active optical cable","Cables","CAB SKU prefix"
"CAB-HAOC-15-C","15m/49ft HDMI 2.0 AOC","Cable","Active optical cable","Cables","CAB SKU prefix"
"CAB-HAOC-20","20m/65ft HDMI 2.0 AOC","Cable","Active optical cable","Cables","CAB SKU prefix"
"CAB-HAOC-20","20m/65ft HDMI 2.0 AOC","Cable","Active optical cable","Cables","CAB SKU prefix"
"CAB-HAOC-20-C","20m/65ft HDMI 2.0 AOC","Cable","Active optical cable","Cables","CAB SKU prefix"
"CAB-HAOC-20-C","20m/65ft HDMI 2.0 AOC","Cable","Active optical cable","Cables","CAB SKU prefix"
"CAB-HAOC-30-C","30m/98ft HDMI 2.0 AOC","Cable","Active optical cable","Cables","CAB SKU prefix"
"CAB-HAOC-30-C","30m/98ft HDMI 2.0 AOC","Cable","Active optical cable","Cables","CAB SKU prefix"
"CAB-HAOC-FRL-10","10m/32ft HDMI 2.1 AOC","Cable","Active optical cable","Cables","CAB SKU prefix"
"CAB-HAOC-FRL-10","10m/32ft HDMI 2.1 AOC","Cable","Active optical cable","Cables","CAB SKU prefix"
"CAB-HAOC-FRL-15","15m/49ft HDMI 2.1 AOC","Cable","Active optical cable","Cables","CAB SKU prefix"
"CAB-HAOC-FRL-15","15m/49ft HDMI 2.1 AOC","Cable","Active optical cable","Cables","CAB SKU prefix"
"CAB-UAOC-15-C","USB 3.2 M to F Active Optical Extension Cable","Cable","Active optical cable","Cables","CAB SKU prefix"
"CAB-UAOC-15-C","USB 3.2 M to F Active Optical Extension Cable","Cable","Active optical cable","Cables","CAB SKU prefix"
"CAB-USBC-15","USB-C to C Active Optical Cable","Cable","USB-C cable","Cables","CAB SKU prefix"
"CAB-USBC-15","USB-C to C Active Optical Cable","Cable","USB-C cable","Cables","CAB SKU prefix"
"CAM-210-NDI-PTZ","1080p60 PTZ Camera","Camera","NDI camera / bridge","Camera / capture","CAM SKU prefix"
"CAM-210-NDI-PTZ","1080p60 PTZ Camera","Camera","NDI camera / bridge","Camera / capture","CAM SKU prefix"
"CAM-210-PTZ","1080p60 PTZ Camera","Camera","PTZ camera","Camera / capture","CAM SKU prefix"
"CAM-210-PTZ","1080p60 PTZ Camera","Camera","PTZ camera","Camera / capture","CAM SKU prefix"
"COM-MIC-HUB","Microphone Hub","Unclassified","Product","General AV","No confident SKU rule matched"
"COM-MIC-HUB","Microphone Hub","Unclassified","Product","General AV","No confident SKU rule matched"
"EX-100-G2","4K60Hz 4:2:0 HDBaseT Extender","Extender","Signal extender","Extension","EX / RX extender SKU prefix"
"EX-100-G2","4K60Hz 4:2:0 HDBaseT Extender","Extender","Signal extender","Extension","EX / RX extender SKU prefix"
"EX-100-H2","4K60Hz 4:2:0 HDBT 2.0 Extender Set","Extender","Signal extender","Extension","EX / RX extender SKU prefix"
"EX-100-H2","4K60Hz 4:2:0 HDBT 2.0 Extender Set","Extender","Signal extender","Extension","EX / RX extender SKU prefix"
"EX-100-IW-USBC","USB 3.2 Single Gang In-Wall HDBT-USB3 Transmitter and Receiver Kit","Extender","Signal extender","Extension","EX / RX extender SKU prefix"
"EX-100-IW-USBC","USB 3.2 Single Gang In-Wall HDBT-USB3 Transmitter and Receiver Kit","Extender","Signal extender","Extension","EX / RX extender SKU prefix"
"EX-100-KVM","4K60Hz 4:2:0 HDBT 2.0 Extender Set","Extender","Signal extender","Extension","EX / RX extender SKU prefix"
"EX-100-KVM","4K60Hz 4:2:0 HDBT 2.0 Extender Set","Extender","Signal extender","Extension","EX / RX extender SKU prefix"
"EX-100-KVM-IP","4K30Hz 4:4:4 IP Extender set","Extender","Signal extender","Extension","EX / RX extender SKU prefix"
"EX-100-KVM-IP","4K30Hz 4:4:4 IP Extender set","Extender","Signal extender","Extension","EX / RX extender SKU prefix"
"EX-100-USB3","USB 3.2 HDBT-USB3 Extender","Extender","Signal extender","Extension","EX / RX extender SKU prefix"
"EX-100-USB3","USB 3.2 HDBT-USB3 Extender","Extender","Signal extender","Extension","EX / RX extender SKU prefix"
"EX-35-H2","4K60Hz 4:4:4 HDBaseT TM Extender Set","Extender","Signal extender","Extension","EX / RX extender SKU prefix"
"EX-35-H2","4K60Hz 4:4:4 HDBaseT TM Extender Set","Extender","Signal extender","Extension","EX / RX extender SKU prefix"
"EX-35-H2-ARC","4K60Hz 4:4:4 HDBaseT TM Extender Set","Extender","Signal extender","Extension","EX / RX extender SKU prefix"
"EX-35-H2-ARC","4K60Hz 4:4:4 HDBaseT TM Extender Set","Extender","Signal extender","Extension","EX / RX extender SKU prefix"
"EX-40-G3","1080p60Hz UTP Extender Set","Extender","Signal extender","Extension","EX / RX extender SKU prefix"
"EX-40-G3","1080p60Hz UTP Extender Set","Extender","Signal extender","Extension","EX / RX extender SKU prefix"
"EX-40-H2-ARC","4K60Hz 4:4:4 HDBaseT TM Extender Set","Extender","Signal extender","Extension","EX / RX extender SKU prefix"
"EX-40-H2-ARC","4K60Hz 4:4:4 HDBaseT TM Extender Set","Extender","Signal extender","Extension","EX / RX extender SKU prefix"
"EX-40-KVM-5K","5K30Hz HDBT3.0 Extender Kit","Extender","Signal extender","Extension","EX / RX extender SKU prefix"
"EX-40-KVM-5K","5K30Hz HDBT3.0 Extender Kit","Extender","Signal extender","Extension","EX / RX extender SKU prefix"
"EX-60-USB2","USB2.0 Extender Set","Extender","Signal extender","Extension","EX / RX extender SKU prefix"
"EX-60-USB2","USB2.0 Extender Set","Extender","Signal extender","Extension","EX / RX extender SKU prefix"
"EX-70-G2","4K60Hz 4:2:0 HDBaseT TM Extender Set","Extender","Signal extender","Extension","EX / RX extender SKU prefix"
"EX-70-G2","4K60Hz 4:2:0 HDBaseT TM Extender Set","Extender","Signal extender","Extension","EX / RX extender SKU prefix"
"EX-70-H2","4K60Hz 4:4:4 HDBaseT TM Extender Set","Extender","Signal extender","Extension","EX / RX extender SKU prefix"
"EX-70-H2","4K60Hz 4:4:4 HDBaseT TM Extender Set","Extender","Signal extender","Extension","EX / RX extender SKU prefix"
"EX-80-KVM","1080p60Hz UTP Extender","Extender","Signal extender","Extension","EX / RX extender SKU prefix"
